Variable,Short definition,Source Framework,Rights Cluster,Domain,Ecosystem Layer,Stage,Origin,Governed,Regulatory Gap,Rate of Risk,Propagates To,Propagates From,Affected Actors,Cultural Portability Notes,Suggested Mitigation,STRAPS Status
Training data provenance,Sources and origin metadata for training datasets,SVMAP-AI,Right to information; cultural rights,Data science,Epistemic,Development,Endogenous,Partial,Moderate,Critical,Personal data inclusion; Consent and licensing compliance,Provenance of scraped datasets,Developers; regulators; affected communities,Provenance norms vary: customary knowledge systems may require collective rather than individual consent,Record source; obtain consent where needed; provenance tags including collective consent protocols,Fails
Personal data inclusion,Use of personal private or sensitive data in training corpora,SVMAP-AI,Right to privacy (ICCPR Art 17); data protection,Regulatory compliance,Governance,Development,Endogenous,Partial,Large,Critical,Cross-border data transfers; Data subject rights handling,Training data provenance,Individuals; vulnerable groups,Privacy expectations shift across legal traditions; group privacy is recognized in some jurisdictions and not others,Remove PII; apply differential privacy; recognize group and relational privacy,
Minority subpopulation exclusion,Rules that exclude underrepresented groups from datasets,SVMAP-AI,Non-discrimination (ICERD; CEDAW; CRPD),Human factors engineering,Social,Development,Endogenous,No,Large,High,Model performance equity metrics; Unavailable holdouts,Labeler recruitment and incentives,Marginalized communities; developers,"Definitions of ""minority"" are context-bound; indigenous, caste, religious, linguistic groupings need local framing",Review inclusion criteria with community participation; create supplemental datasets co-designed with affected groups,
Cross-border data transfers,Movement of dataset copies across jurisdictions,SVMAP-AI,Sovereignty; data protection (GDPR; LGPD; POPIA),Regulatory compliance,Governance,Development,Endogenous,Partial,Large,Critical,Regulatory arbitrage across jurisdictions,Personal data inclusion,Regulators; individuals; developers,Data sovereignty doctrines differ: indigenous data sovereignty (CARE principles) vs national sovereignty vs regional blocs,Comply with transfer rules; respect indigenous data sovereignty; localize where required,
Consent and licensing compliance,Permissions and licenses for data use,SVMAP-AI,Right to property; cultural rights; free prior informed consent,Regulatory compliance,Governance,Development,Endogenous,Partial,Large,Critical,Use of copyrighted corpora; Data subject rights handling,,Developers; content creators; regulators,FPIC standard from UNDRIP applies where indigenous knowledge or lands are implicated,Maintain license registry; apply FPIC for indigenous and community-held knowledge,
Use of copyrighted or licensed corpora,Training on proprietary or copyrighted materials,SVMAP-AI,Right to property; right to benefit from one's authorship (UDHR Art 27),Regulatory compliance,Governance,Development,Endogenous,Partial,Large,Critical,Consent and licensing compliance,,Content creators; developers; regulators,Authorship norms vary: collective and customary authorship traditions are not captured by Western IP regimes,Seek licenses; honor collective authorship; consider exclusions,
Proxy objectives and reward shaping,Use of proxy metrics that may misalign incentives,SVMAP-AI,Right to dignity; non-discrimination,Systems architecture,Epistemic,Training,Endogenous,No,Large,Critical,Model performance equity metrics; Testing for long-term reward hacking,Pretraining objectives,Developers; society,Definitions of welfare and harm are culturally situated; proxies trained on one society's data misalign in others,Align proxies with plural human values; multi-objective training with cultural stakeholders,
Model performance equity metrics,Measures for equitable performance across groups,SVMAP-AI,Non-discrimination; equality before the law,Quality engineering,Epistemic,Evaluation,Endogenous,No,Large,Critical,Testing for persuasion and influence,Minority subpopulation exclusion,Developers; affected communities,"""Group"" categories differ by region: race, caste, ethnicity, tribe, citizenship status, religion",Include equity metrics scoped to local protected categories,
Testing for privacy leakage via APIs,Assessing whether API outputs leak training data,SVMAP-AI,Right to privacy,Quality engineering,Epistemic,Evaluation,Endogenous,No,Large,Critical,Personal data inclusion,,Individuals; developers; regulators,Sensitivity of leaked attributes varies (e.g. caste in India; sexual orientation under criminalization regimes),Perform extraction tests; limit verbose outputs; threat-model by jurisdiction,
Metrics for societal-scale harms,Measuring impacts like misinformation spread or social destabilization,SVMAP-AI,Right to information; political participation,Quality engineering,Epistemic,Evaluation,Endogenous,No,Large,Critical,Testing for persuasion and influence,,Society; regulators; researchers,Information ecology differs by media landscape and trust in institutions,Develop macro-level monitoring; partner with regional research bodies,
Compute concentration in hyperscalers,Control of AI training infrastructure by five or fewer firms creating systemic dependency,SVMAP-AI,Right to development; economic self-determination,Data center operations,Economic,Operation,Exogenous,No,Large,Critical,AI financial systemic risk; Access to compute resources,Critical mineral dependency,Smaller developers; nations; society,Sovereignty pressure is sharpest on Global South states with no domestic compute,Antitrust review; public compute access; distributed infrastructure investment,
AI infrastructure climate feedback loop,Climate change destabilizes the physical infrastructure AI depends on while AI accelerates climate change,SVMAP-AI,Right to a healthy environment (UNGA 76/300); right to life,Environmental engineering,Ecological,Operation,Exogenous,No,Large,Critical,Renewable energy integration lag; Rebound effect from AI efficiency,,Planet; societies; developers,Climate burden is unevenly distributed; small island and arid states face disproportionate exposure,Bidirectional climate-AI risk assessment; infrastructure resilience planning,
Critical mineral dependency for AI hardware,AI chip and server manufacturing depends on rare earths and conflict minerals with concentrated and fragile supply chains,SVMAP-AI,Right to development; labor rights; ESCR,Conflict minerals compliance,Physical,Extraction,Exogenous,Partial,Large,Critical,Conflict minerals in AI supply chain,,Nations; mining communities; developers,Extraction occurs in jurisdictions with weakest labor and environmental enforcement,Mineral provenance tracking; circular economy engineering; supply diversification,
Conflict minerals in AI supply chain,Use of minerals from conflict zones in AI hardware manufacturing financing armed groups and human rights abuses,SVMAP-AI,Prohibition of slavery; right to security of person; ICCPR,Conflict minerals compliance,Social,Extraction,Exogenous,Partial,Large,Critical,Critical mineral dependency,,Mining communities; human rights; developers,OECD Due Diligence Guidance applies; implementation gaps in artisanal mining contexts,Mandatory conflict minerals disclosure; certified sourcing; FPIC for community-affected sites,
Agentic AI governance gap,Autonomous AI agents that plan reason and act across systems without human mediation,SVMAP-AI,Right to remedy; right to human review of automated decisions,Systems architecture,Governance,Operation,Exogenous,No,Large,Critical,Multi-agent cascade risk; Interdependence of multiple models,,Society; operators; individuals,Right to human review codified differently (GDPR Art 22; emerging African Union AI strategy),Agentic identity frameworks; interaction layer governance; human override mandates,
Epistemic capture by industry,The people who understand AI systems best are the people building them creating structural conflict of interest in governance,SVMAP-AI,Right to participation; right to information,Program management,Epistemic,Cross-cutting,Reflexive,No,Large,Critical,AI literacy deficit in governance bodies; Regulatory arbitrage,,Society; regulators; researchers,Capture patterns mirror prior epistemic capture in pharma; tobacco; finance — playbook is portable,Independent research funding; access for external researchers; mandatory disclosure,
Legitimacy deficit in AI governance,Communities most affected by AI vulnerabilities have the least access to instruments for understanding and challenging them,SVMAP-AI,Right to participation (ICCPR Art 25); access to information,Human factors engineering,Social,Cross-cutting,Reflexive,No,Large,Critical,AI literacy deficit; Standards for multi-stakeholder audits,,Marginalized communities; civil society; affected individuals,Participation mechanisms must be designed for low-bandwidth and oral traditions; not only consultation portals,Participatory governance design; accessible public instruments; community veto rights,
Right to non-discrimination,Equal protection against discrimination on protected grounds (ICERD; CEDAW; CRPD),UN-UHRI,Non-discrimination,Human rights law,Social,Cross-cutting,Exogenous,Partial,Large,Critical,Minority subpopulation exclusion; Model performance equity metrics,Structural inequality in protected categories,Marginalized communities; states; individuals,Protected grounds vary by treaty ratification and reservations,Domestic legislation; equality bodies; intersectional enforcement,
Right to privacy,Protection from arbitrary interference with privacy family home or correspondence (ICCPR Art 17),UN-UHRI,Privacy and dignity,Human rights law,Social,Cross-cutting,Exogenous,Partial,Large,Critical,Personal data inclusion; Cross-border data transfers; Testing for privacy leakage,Surveillance infrastructure,Individuals; vulnerable groups,Privacy boundaries differ: collective; familial; and individual conceptions coexist,Data protection authorities; judicial oversight; surveillance limits,
Right to freedom of expression,Right to seek receive and impart information (ICCPR Art 19),UN-UHRI,Civil and political rights,Human rights law,Social,Cross-cutting,Exogenous,Partial,Large,Critical,Automated policy enforcement tools; Metrics for societal-scale harms,Content moderation regimes,Journalists; activists; users; states,Permissible limitations vary; some jurisdictions criminalize speech protected elsewhere,Three-part test (legality; legitimate aim; necessity and proportionality),
Right to participation in public affairs,Right to take part in conduct of public affairs (ICCPR Art 25),UN-UHRI,Civil and political rights,Human rights law,Social,Cross-cutting,Exogenous,Partial,Moderate,High,Legitimacy deficit in AI governance; Standards for multi-stakeholder audits,Civic space conditions,Citizens; civil society; marginalized groups,Mechanisms differ: representative; deliberative; direct; customary,Participatory frameworks; civic space protection,
Right to remedy,Right to effective remedy for violations (UDHR Art 8; ICCPR Art 2.3),UN-UHRI,Access to justice,Human rights law,Governance,Cross-cutting,Exogenous,Partial,Large,Critical,Agentic AI governance gap; Public incident disclosure thresholds,Judicial independence,Victims; affected communities; states,Access to remedy is undermined where legal aid; standing; or judicial capacity is weak,National human rights institutions; ombuds offices; collective redress,
Right to work and just conditions,Right to work in just and favorable conditions (ICESCR Art 6-7),UN-UHRI,Economic social and cultural rights,Human rights law,Social,Cross-cutting,Exogenous,Partial,Large,High,Labeler recruitment and incentives; Conflict minerals in AI supply chain,Labor market structure,Workers; gig labor; mining communities; annotators,Informal economies dominate in many contexts; statutory protections do not reach all workers,Labor inspectorates; living wage frameworks; supply chain due diligence,
Right to health,Right to highest attainable standard of physical and mental health (ICESCR Art 12),UN-UHRI,Economic social and cultural rights,Human rights law,Social,Cross-cutting,Exogenous,Partial,Large,High,AI infrastructure climate feedback loop; E-waste from AI hardware,Health system capacity,Communities near disposal sites; workers; patients,Health risk exposure follows existing socioeconomic gradients,Environmental health regulation; occupational health enforcement,
Right to education,Right to free compulsory primary education and accessible secondary and higher (ICESCR Art 13),UN-UHRI,Economic social and cultural rights,Human rights law,Social,Cross-cutting,Exogenous,Partial,Moderate,High,AI literacy deficit in governance bodies; Legitimacy deficit,Educational access inequalities,Children; adults; regulators,AI literacy is a new dimension of educational equity,Curriculum integration of AI literacy; teacher training; public education,
Right to a healthy environment,Recognized by UNGA Resolution 76/300 (2022),UN-UHRI,Environmental rights,Human rights law,Ecological,Cross-cutting,Exogenous,No,Large,Critical,AI infrastructure climate feedback loop; Acoustics and vibration impacts; E-waste,Climate and ecological breakdown,Planet; future generations; communities near infrastructure,Recognition is recent and uneven across constitutional orders,Constitutional and statutory recognition; environmental impact assessment,
Rights of the child,Protections under the Convention on the Rights of the Child (CRC),UN-UHRI,Vulnerable groups,Human rights law,Social,Cross-cutting,Exogenous,Partial,Large,High,Personal data inclusion; Automated policy enforcement; Minority subpopulation exclusion,Family and education systems,Children; families; states,Best interest of the child standard is universal but contextually applied,Child rights impact assessment of AI systems,
Rights of persons with disabilities,Protections under CRPD including accessibility and reasonable accommodation,UN-UHRI,Vulnerable groups,Human rights law,Social,Cross-cutting,Exogenous,Partial,Large,High,Minority subpopulation exclusion; Model performance equity metrics,Accessibility infrastructure,Persons with disabilities; caregivers,Accessibility expectations evolving; assistive AI may both extend and constrain rights,Accessibility audits; co-design with disability community,
Rights of indigenous peoples,Protections under UNDRIP including FPIC and cultural integrity,UN-UHRI,Vulnerable groups,Human rights law,Social,Cross-cutting,Exogenous,No,Large,Critical,Consent and licensing compliance; Critical mineral dependency; Cross-border data transfers,Land tenure and recognition,Indigenous peoples; states,FPIC is the operative standard; CARE principles for indigenous data governance apply,Indigenous data sovereignty; FPIC protocols; co-governance,
Rights of women and gender equality,Protections under CEDAW,UN-UHRI,Vulnerable groups,Human rights law,Social,Cross-cutting,Exogenous,Partial,Large,High,Minority subpopulation exclusion; Model performance equity metrics; Labeler recruitment,Gendered power structures,Women; gender minorities,Intersectional analysis required: gender intersects with race; class; geography,Gender impact assessment; intersectional data disaggregation,
Income inequality (Gini coefficient),Standard measure of income distribution within a country (World Bank PIP),Inequity-WBPIP,Economic inequality,Economics,Economic,Cross-cutting,Exogenous,Partial,Large,High,Compute concentration in hyperscalers; AI financial systemic risk,Tax and transfer policy,Households; workers; states,Gini understates wealth (vs income) inequality; consumption-based in many low-income contexts,Progressive taxation; transfer programs; pre-distribution policy,
Multidimensional poverty,Composite of deprivations in health education and living standards (UNDP MPI),Inequity-UNDP,Economic and social inequality,Development economics,Social,Cross-cutting,Exogenous,Partial,Large,High,Right to health; Right to education; Right to work,Public service provision,Households; communities,Indicators adjusted to national contexts; intra-household inequality often invisible,Targeted social protection; basic services investment,
Wealth concentration,Share of wealth held by top deciles and percentiles (World Inequality Database),Inequity-WID,Economic inequality,Economics,Economic,Cross-cutting,Exogenous,No,Large,High,Compute concentration in hyperscalers; Circular capital flows; Epistemic capture,Capital tax regimes,Society; states,Wealth measurement requires administrative data; missing in many jurisdictions,Wealth taxation; transparency registries,
Gender inequality (GII),Composite index of reproductive health empowerment and labor market (UNDP GII),Inequity-UNDP,Gender inequality,Development economics,Social,Cross-cutting,Exogenous,Partial,Large,High,Rights of women; Minority subpopulation exclusion,Patriarchal institutions,Women; gender minorities,Index limited to measurable proxies; gender beyond binary not captured,Gender-responsive budgeting; CEDAW implementation,
Educational inequality,Disparity in access attainment and quality of education (UNESCO; WIDE),Inequity-UNESCO,Capability inequality,Education policy,Social,Cross-cutting,Exogenous,Partial,Large,High,Right to education; AI literacy deficit,Public education investment,Children; adults; states,Digital divides compound prior educational inequalities,Public investment; digital inclusion; AI literacy,
Health inequality,Disparities in life expectancy morbidity and access (WHO Health Inequality Monitor),Inequity-WHO,Capability inequality,Public health,Social,Cross-cutting,Exogenous,Partial,Large,High,Right to health; AI infrastructure climate feedback loop,Health system financing,Households; communities,Social determinants framework places inequality upstream of health outcomes,Universal health coverage; social determinants action,
Digital divide,Disparities in access use and benefit from digital infrastructure (ITU; UNCTAD),Inequity-ITU,Digital inequality,Telecommunications policy,Infrastructure,Cross-cutting,Exogenous,Partial,Large,High,Compute concentration; AI literacy deficit; Legitimacy deficit,Telecom market structure,Rural communities; low-income households; women; states,Connectivity is necessary but not sufficient; meaningful access requires affordability; literacy; relevance,Universal service obligations; public digital infrastructure,
Civic space and freedom,Conditions for civic action expression and assembly (CIVICUS Monitor),Inequity-CIVICUS,Civil and political inequality,Civil society,Social,Cross-cutting,Exogenous,No,Large,High,Right to freedom of expression; Right to participation,Political regime type,Civil society; journalists; activists,Closing civic space is a leading indicator for broader rights erosion,Civic space protection; defender protections; legal reform,
Land tenure inequality,Disparities in land rights ownership and access (FAO; ILC),Inequity-FAO,Economic and social inequality,Agrarian policy,Physical,Cross-cutting,Exogenous,Partial,Large,High,Rights of indigenous peoples; Critical mineral dependency,Colonial and post-colonial land systems,Smallholders; indigenous peoples; pastoralists,Tenure systems include statutory; customary; communal; informal,Tenure recognition; land restitution; FPIC for extractive projects,
Climate vulnerability,Differential exposure and adaptive capacity to climate impacts (ND-GAIN; INFORM),Inequity-CLIMATE,Ecological inequality,Climate policy,Ecological,Cross-cutting,Exogenous,Partial,Large,Critical,Right to a healthy environment; AI infrastructure climate feedback loop,Historical emissions pathways,Climate-vulnerable nations; coastal communities; pastoralists,Loss and damage framework recognizes differentiated responsibility,Adaptation finance; loss and damage; mitigation,
Statelessness and forced displacement,Populations without nationality or forcibly displaced (UNHCR),Inequity-UNHCR,Vulnerable groups,Refugee and migration policy,Social,Cross-cutting,Exogenous,Partial,Large,High,Right to remedy; Right to participation; Personal data inclusion,Conflict; persecution; climate displacement,Refugees; stateless persons; IDPs,Identification systems and biometric AI carry sharp risks for these populations,1951 Convention; statelessness conventions; protection-by-design,
