ID,Variable,Short definition,Domain,Ecosystem Layer,Stage,Origin,Governed,Regulatory Gap,Rate of Risk,Propagates To,Propagates From,Affected Actors,Suggested mitigation,STRAPS Status
SVM-001,Training data provenance,Sources and origin metadata for training datasets,Data science,Epistemic,Development,Endogenous,Partial,Moderate,Critical,SVM-003;SVM-014;SVM-015,SVM-111,Developers; regulators; affected communities,Record source; obtain consent where needed; provenance tags,Fails
SVM-002,Data quality controls,Standards for labeling accuracy consistency and noise reduction,Quality engineering,Epistemic,Development,Endogenous,Partial,Moderate,Critical,SVM-006;SVM-061,SVM-007;SVM-008,Developers; end users,Establish QA pipelines; inter-annotator agreement; audits,
SVM-003,Personal data inclusion,Use of personal private or sensitive data in training corpora,Regulatory compliance,Governance,Development,Endogenous,Partial,Large,Critical,SVM-055;SVM-056;SVM-099,,Individuals; vulnerable groups,Remove PII; apply differential privacy and consent frameworks,
SVM-004,Dataset versioning & lineage,Tracking changes merges and versions of datasets,Data science,Epistemic,Development,Endogenous,Partial,Moderate,High,SVM-001;SVM-153,,Developers; auditors,Implement dataset registry and immutable versioning,
SVM-005,Dataset deduplication rules,Methods and thresholds for removing duplicate records,Data science,Epistemic,Development,Endogenous,No,Moderate,High,SVM-002,,Developers,Define and automate deduplication; log decisions,
SVM-006,Label taxonomy choices,How labels and categories are defined and granularity,Data science,Epistemic,Development,Endogenous,No,Moderate,High,SVM-002;SVM-061,,Developers; affected communities,Include stakeholder input; document taxonomies,
SVM-007,Labeler recruitment & incentives,How annotators are selected paid and incentivized,Human factors engineering,Social,Development,Endogenous,No,Large,High,SVM-008;SVM-009,,Annotators; developers,Fair pay; training; bias mitigation; audits,
SVM-008,Labeler instructions & guidelines,Guidance given to human annotators,Human factors engineering,Social,Development,Endogenous,Partial,Moderate,High,SVM-002;SVM-009,,Annotators; developers,Standardize guidelines; examples; and review cycles,
SVM-009,Labeler quality monitoring,Ongoing checks on annotator performance,Quality engineering,Epistemic,Development,Endogenous,No,Moderate,High,SVM-002,,Developers; annotators,Use gold tests; periodic review; and feedback,
SVM-010,Synthetic data generation practices,Creation and use of synthetic datasets,Data science,Epistemic,Development,Endogenous,No,Large,High,SVM-001;SVM-002,,Developers; affected communities,Document synthesis methods; test for artifacts and bias,
SVM-011,Data augmentation techniques,Transforms applied to expand data,Data science,Epistemic,Development,Endogenous,No,Moderate,Medium,SVM-002,,Developers,Track augmentations; validate distributional impact,
